,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,symbol,exchange,date,name,final_volume
39,231.76,239.19,229.6,236.26,69715948.0,239.19,229.6,236.26,231.76,69715948.0,BABA,XNYS,2020-12-29 00:00:00+00:00,Alibaba Group Holding Ltd,69715948.0
38,243.3484,243.39,234.6452,238.39,44812299.0,243.39,234.6452,238.39,243.3484,44812299.0,BABA,XNYS,2020-12-30 00:00:00+00:00,Alibaba Group Holding Ltd,44812299.0
37,237.46,238.92,231.0267,232.73,23451848.0,238.92,231.0267,232.73,237.46,23451848.0,BABA,XNYS,2020-12-31 00:00:00+00:00,Alibaba Group Holding Ltd,23451848.0
36,226.5,230.38,225.04,227.85,24897858.0,230.38,225.04,227.85,226.5,24897858.0,BABA,XNYS,2021-01-04 00:00:00+00:00,Alibaba Group Holding Ltd,24897858.0
35,229.05,240.76,228.12,240.4,35823827.0,240.76,228.12,240.4,229.05,35823827.0,BABA,XNYS,2021-01-05 00:00:00+00:00,Alibaba Group Holding Ltd,35823827.0
34,234.95,238.3,225.86,227.61,37146057.0,238.3,225.86,227.61,234.95,37146057.0,BABA,XNYS,2021-01-06 00:00:00+00:00,Alibaba Group Holding Ltd,37146057.0
33,229.31,229.95,220.09,226.9,49361841.0,229.95,220.09,226.9,229.31,49361841.0,BABA,XNYS,2021-01-07 00:00:00+00:00,Alibaba Group Holding Ltd,49361841.0
32,227.88,238.6,226.6833,236.19,34884935.0,238.6,226.6833,236.19,227.88,34884935.0,BABA,XNYS,2021-01-08 00:00:00+00:00,Alibaba Group Holding Ltd,34884935.0
31,229.9,230.8245,225.86,227.37,23036857.0,230.8245,225.86,227.37,229.9,23036857.0,BABA,XNYS,2021-01-11 00:00:00+00:00,Alibaba Group Holding Ltd,23036857.0
30,228.385,229.75,225.14,225.6,18614489.0,229.75,225.14,225.6,228.385,18614489.0,BABA,XNYS,2021-01-12 00:00:00+00:00,Alibaba Group Holding Ltd,18614489.0
29,229.94,240.49,226.29,235.3,38805070.0,240.49,226.29,235.3,229.94,38805070.0,BABA,XNYS,2021-01-13 00:00:00+00:00,Alibaba Group Holding Ltd,38805070.0
28,245.31,245.7,241.47,242.98,31381635.0,245.7,241.47,242.98,245.31,31381635.0,BABA,XNYS,2021-01-14 00:00:00+00:00,Alibaba Group Holding Ltd,31381635.0
27,246.25,246.99,242.1501,243.46,21561645.0,246.99,242.1501,243.46,246.25,21561645.0,BABA,XNYS,2021-01-15 00:00:00+00:00,Alibaba Group Holding Ltd,21561645.0
